Elapsed time = 0.020816 for 4 ranks, 8 threads, for generating 100 patterns with a pattern size of 100 
Elapsed time = 0.019090 for 4 ranks, 16 threads, for generating 100 patterns with a pattern size of 100 
Elapsed time = 2.255001 for 4 ranks, 32 threads, for generating 100 patterns with a pattern size of 100 
Elapsed time = 0.046438 for 8 ranks, 1 threads, for generating 100 patterns with a pattern size of 100 
Elapsed time = 0.025563 for 8 ranks, 2 threads, for generating 100 patterns with a pattern size of 100 
Elapsed time = 0.019143 for 8 ranks, 4 threads, for generating 100 patterns with a pattern size of 100 
Elapsed time = 0.009132 for 8 ranks, 8 threads, for generating 100 patterns with a pattern size of 100 
Elapsed time = 1.025343 for 8 ranks, 16 threads, for generating 100 patterns with a pattern size of 100 
Elapsed time = 0.051703 for 8 ranks, 32 threads, for generating 100 patterns with a pattern size of 100 
Elapsed time = 0.024821 for 16 ranks, 1 threads, for generating 100 patterns with a pattern size of 100 
Elapsed time = 0.013591 for 16 ranks, 2 threads, for generating 100 patterns with a pattern size of 100 
Elapsed time = 0.007677 for 16 ranks, 4 threads, for generating 100 patterns with a pattern size of 100 
Elapsed time = 0.559809 for 16 ranks, 8 threads, for generating 100 patterns with a pattern size of 100 
Elapsed time = 0.021298 for 16 ranks, 16 threads, for generating 100 patterns with a pattern size of 100 
Elapsed time = 0.031997 for 16 ranks, 32 threads, for generating 100 patterns with a pattern size of 100 
Elapsed time = 0.014676 for 32 ranks, 1 threads, for generating 100 patterns with a pattern size of 100 
Elapsed time = 0.007572 for 32 ranks, 2 threads, for generating 100 patterns with a pattern size of 100 
Elapsed time = 0.244590 for 32 ranks, 4 threads, for generating 100 patterns with a pattern size of 100 
Elapsed time = 0.012432 for 32 ranks, 8 threads, for generating 100 patterns with a pattern size of 100 
Elapsed time = 0.019105 for 32 ranks, 16 threads, for generating 100 patterns with a pattern size of 100 
Elapsed time = 0.032288 for 32 ranks, 32 threads, for generating 100 patterns with a pattern size of 100 
Elapsed time = 1.635930 for 1 ranks, 1 threads, for generating 500 patterns with a pattern size of 100 
Elapsed time = 0.980923 for 1 ranks, 2 threads, for generating 500 patterns with a pattern size of 100 
Elapsed time = 0.627109 for 1 ranks, 4 threads, for generating 500 patterns with a pattern size of 100 
Elapsed time = 0.446869 for 1 ranks, 8 threads, for generating 500 patterns with a pattern size of 100 
Elapsed time = 0.367481 for 1 ranks, 16 threads, for generating 500 patterns with a pattern size of 100 
Elapsed time = 0.362960 for 1 ranks, 32 threads, for generating 500 patterns with a pattern size of 100 
Elapsed time = 0.874703 for 2 ranks, 1 threads, for generating 500 patterns with a pattern size of 100 
Elapsed time = 0.549035 for 2 ranks, 2 threads, for generating 500 patterns with a pattern size of 100 
Elapsed time = 0.320287 for 2 ranks, 4 threads, for generating 500 patterns with a pattern size of 100 
